review_domain,ticker,isin,company_name,company_type_profile,required_kpis,missing_kpi_count,present_kpi_count,approved_kpi_count,invalid_kpi_count,private_input_file_status,row_validation_status,apply_eligibility_status,source_metadata_complete,reason_codes
DIVIDEND_FCF,US02079K3059,US02079K3059,"Alphabet Inc. Reg. Shs Cap.Stk Cl. A DL-,001",STANDARD,fcf_margin;fcf_per_share_cagr_5y;payout_ratio_fcf,3,0,0,0,MISSING,MISSING,NOT_AVAILABLE,no,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION
DIVIDEND_FCF,US0378331005,US0378331005,Apple Inc. Registered Shares o.N.,STANDARD,fcf_margin;fcf_per_share_cagr_5y;payout_ratio_fcf,3,0,0,0,MISSING,MISSING,NOT_AVAILABLE,no,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION
DIVIDEND_FCF,US0394831020,US0394831020,Archer Daniels Midland Co. Registered Shares o.N.,STANDARD,fcf_margin;fcf_per_share_cagr_5y;payout_ratio_fcf,3,0,0,0,MISSING,MISSING,NOT_AVAILABLE,no,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION
DIVIDEND_FCF,US22788C1053,US22788C1053,"Crowdstrike Holdings Inc Registered Shs Cl.A DL-,0005",STANDARD,fcf_margin;fcf_per_share_cagr_5y;payout_ratio_fcf,3,0,0,0,MISSING,MISSING,NOT_AVAILABLE,no,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION
DIVIDEND_FCF,US2546871060,US2546871060,"Walt Disney Co., The Registered Shares DL -,01",STANDARD,fcf_margin;fcf_per_share_cagr_5y;payout_ratio_fcf,3,0,0,0,MISSING,MISSING,NOT_AVAILABLE,no,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION
DIVIDEND_FCF,US5949181045,US5949181045,"Microsoft Corp. Registered Shares DL-,00000625",STANDARD,fcf_margin;fcf_per_share_cagr_5y;payout_ratio_fcf,3,0,0,0,MISSING,MISSING,NOT_AVAILABLE,no,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION
DIVIDEND_FCF,US69608A1088,US69608A1088,Palantir Technologies Inc. Registered Shares o.N.,STANDARD,fcf_margin;fcf_per_share_cagr_5y;payout_ratio_fcf,3,0,0,0,MISSING,MISSING,NOT_AVAILABLE,no,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION
DIVIDEND_FCF,US8522341036,US8522341036,Block Inc. Registered Shs Class A,STANDARD,fcf_margin;fcf_per_share_cagr_5y;payout_ratio_fcf,3,0,0,0,MISSING,MISSING,NOT_AVAILABLE,no,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION
DIVIDEND_FCF,US92826C8394,US92826C8394,"VISA Inc. Reg. Shares Class A DL -,0001",STANDARD,fcf_margin;fcf_per_share_cagr_5y;payout_ratio_fcf,3,0,0,0,MISSING,MISSING,NOT_AVAILABLE,no,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION
DIVIDEND_FCF,US98138J5039,US98138J5039,"Workhorse Group Inc. Registered Shares New DL-,001",STANDARD,fcf_margin;fcf_per_share_cagr_5y;payout_ratio_fcf,3,0,0,0,MISSING,MISSING,NOT_AVAILABLE,no,DIVIDEND_FCF_REQUIRED_MISSING;INPUT_FILE_MISSING;NO_IMPUTATION
